Country,Continent,Status_of_country,Happiness_score,Standard_error_of_ladder_score,Population,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
United Arab Emirates,Asia,Developed,6.571,0.043,9300996,42810,0.826,66.243,0.942,0.096,0.584
Taiwan,Asia,Developed,6.535,0.047,23800125,27170,0.884,69.6,0.804,-0.129,0.681
Uruguay,South America,Developing,6.494,0.046,3500787,16290,0.913,67.5,0.895,-0.065,0.575
Slovakia,Europe,Developed,6.469,0.056,5500447,18160,0.953,68.838,0.753,-0.016,0.898
Saudi Arabia,Asia,Developing,6.463,0.061,35300889,22650,0.884,64.399,0.894,-0.081,0.691
Estonia,Europe,Developed,6.455,0.04,1300778,24000,0.946,69.65,0.929,0.032,0.409
Spain,Europe,Developed,6.436,0.042,47400563,30760,0.932,72.35,0.782,-0.066,0.711
Italy,Europe,Developed,6.405,0.054,60400223,35310,0.882,72.05,0.711,-0.074,0.842
Kosovo,Europe,Developing,6.368,0.06,1800326,4720,0.844,65.195,0.861,0.259,0.866
Chile,South America,Developing,6.334,0.046,19700225,15650,0.889,70.3,0.792,-0.011,0.823
Mexico,North America,Developing,6.33,0.057,126200125,10530,0.804,65.8,0.856,-0.094,0.768
Malta,Europe,Developed,6.3,0.045,515225,28760,0.923,71.6,0.886,0.119,0.729
Panama,North America,Developing,6.265,0.081,4300969,15110,0.896,68.95,0.855,-0.133,0.878
Poland,Europe,Developing,6.26,0.042,38000336,16940,0.925,69.049,0.765,-0.031,0.736
Nicaragua,North America,Developing,6.259,0.076,6900115,2110,0.853,65.65,0.877,0.021,0.625
Latvia,Europe,Developed,6.213,0.042,1800036,16610,0.937,66.4,0.818,-0.056,0.83
Bahrain,Asia,Developing,6.173,0.1,1700022,24300,0.844,65.825,0.944,0.117,0.737
Guatemala,North America,Developing,6.15,0.108,17900007,4350,0.812,62.9,0.856,-0.057,0.837
Kazakhstan,Asia,Developing,6.144,0.048,18900558,9360,0.931,65.802,0.853,0,0.721
Serbia,Europe,Developing,6.144,0.079,7000556,6630,0.873,67.088,0.845,0.204,0.816
Cyprus,Europe,Developed,6.13,0.054,1200552,30690,0.826,72.802,0.724,-0.06,0.86
Japan,Asia,Developed,6.129,0.042,126200696,42360,0.894,74.349,0.799,-0.237,0.64
Croatia,Europe,Developed,6.125,0.057,4000447,12740,0.917,68.95,0.757,-0.093,0.925
Brazil,South America,Developing,6.125,0.065,213900787,9130,0.836,65.749,0.801,-0.009,0.738
El Salvador,North America,Developing,6.122,0.069,6400525,3930,0.755,65.597,0.918,-0.108,0.62
Kuwait,Asia,Developing,6.106,0.046,4270563,44847,0.785,75.586,0.811,-0.065,0.78
Hungary,Europe,Developing,6.041,0.055,9600333,16600,0.943,67.5,0.758,-0.059,0.839
Argentina,South America,Developing,6.024,0.063,45400585,9100,0.891,67.2,0.823,-0.089,0.814
Honduras,North America,Developing,6.023,0.089,10100114,2150,0.766,64.063,0.843,0.097,0.843
Uzbekistan,Asia,Developing,6.014,0.059,34700558,1760,0.875,65.301,0.938,0.23,0.638
Malaysia,Asia,Developing,6.012,0.079,32800696,10750,0.799,65.662,0.877,0.16,0.758
Portugal,Europe,Developed,5.968,0.055,10200552,24370,0.878,71.25,0.902,-0.196,0.878
South Korea,Asia,Developed,5.951,0.045,51200985,35620,0.812,73.65,0.717,-0.046,0.701
Greece,Europe,Developed,5.931,0.048,10400669,18090,0.835,71.15,0.568,-0.24,0.793
Mauritius,Africa,Developing,5.902,0.057,1300445,11340,0.888,63.85,0.813,-0.028,0.775
Thailand,Asia,Developing,5.843,0.064,69800001,5610,0.874,68.45,0.85,0.289,0.91
Mongolia,Asia,Developing,5.84,0.046,3300556,4200,0.933,60.5,0.701,0.19,0.849
Kyrgyzstan,Asia,Developing,5.825,0.045,6600550,1230,0.911,66.852,0.934,0.181,0.904
Belarus,Europe,Developed,5.821,0.037,9449321,19186,0.863,74.951,0.889,0.165,0.902
Moldova,Europe,Developing,5.819,0.052,4000585,2540,0.857,65.299,0.84,-0.08,0.901
China,Asia,Developing,5.818,0.044,1439000236,10600,0.836,68.689,0.882,-0.041,0.727
Vietnam,Asia,Developing,5.763,0.052,98700225,2660,0.821,65.502,0.939,-0.004,0.759
Paraguay,South America,Developing,5.738,0.058,7200478,3320,0.906,65.9,0.891,0.021,0.843
Montenegro,Europe,Developing,5.722,0.112,620225,7810,0.89,67.1,0.805,0.063,0.844
Jamaica,North America,Developing,5.703,0.089,2900336,5240,0.867,66.6,0.822,-0.106,0.875
Bolivia,South America,Developing,5.684,0.057,11500885,2800,0.811,63.599,0.868,-0.063,0.846
Russia,Asia,Developing,5.661,0.037,145900112,11170,0.889,64.947,0.719,-0.03,0.801
Bosnia and Herzegovina,Europe,Developing,5.633,0.073,3300447,4760,0.88,67.275,0.746,0.206,0.918
Colombia,South America,Developing,5.63,0.06,51000558,6530,0.822,69.35,0.804,-0.104,0.834
Dominican Republic,North America,Developing,5.569,0.073,10800454,7450,0.827,64.399,0.85,-0.099,0.657
Ecuador,South America,Developing,5.559,0.063,17700787,6150,0.806,69,0.802,-0.108,0.833
Peru,South America,Developing,5.526,0.058,33400663,6030,0.798,69.85,0.794,-0.119,0.892
Philippines,Asia,Developing,5.523,0.077,113100222,3580,0.78,62.038,0.919,-0.06,0.732
Turkmenistan,Asia,Developing,5.474,0.069,6031187,3232,0.852,68.313,0.865,-0.108,0.236
Bulgaria,Europe,Developing,5.466,0.059,6900585,7000,0.918,66.5,0.801,-0.057,0.911
Armenia,Asia,Developed,5.398,0.049,2963234,12619,0.822,75.224,0.742,0.211,0.896
Cuba,North America,Developed,5.366,0.049,11326616,2325,0.749,78.892,0.729,0.03,0.749
Nepal,Asia,Developing,5.36,0.075,30000441,1130,0.748,61.847,0.808,0.146,0.783
Armenia,Asia,Developing,5.342,0.066,3000449,4200,0.79,67.789,0.796,-0.155,0.705
Libya,Africa,Developing,5.331,0.061,6871287,10282,0.801,73.082,0.895,-0.081,0.658
Tajikistan,Africa,Developing,5.33,0.062,9700586,890,0.836,62.226,0.832,-0.06,0.522
Algeria,Asia,Developing,5.329,0.062,43900447,3600,0.855,66.549,0.571,-0.117,0.717
Hong Kong S.A.R. of China,Asia,Developing,5.308,0.048,7500695,50330,0.817,77.28,0.687,-0.026,0.385
Albania,Europe,Developing,5.277,0.066,2800525,5350,0.718,69.15,0.794,-0.007,0.878
Indonesia,Asia,Developing,5.277,0.059,273500225,4230,0.804,63.048,0.88,0.531,0.876
South Africa,Africa,Developing,5.275,0.073,59300889,5380,0.907,56.989,0.73,-0.087,0.902
Congo (Brazzaville),Africa,Developing,5.267,0.088,5100525,2310,0.605,56.85,0.73,-0.004,0.739
North Macedonia,Europe,Developing,5.254,0.055,2100634,5470,0.805,66.5,0.769,0.131,0.902
Cote d'Ivoire,Africa,Developing,5.234,0.047,26378275,5181,0.812,58.104,0.892,0.137,0.896
Venezuela,South America,Developing,5.211,0.064,28500652,1180,0.839,64.05,0.659,0.128,0.811
Laos,Asia,Developing,5.111,0.081,7400569,2250,0.679,60.946,0.919,0.091,0.703
Georgia,Africa,Developing,5.109,0.056,3700521,4040,0.716,64.95,0.786,-0.254,0.649
Congo,Africa,Developing,5.075,0.044,5518092,3433,0.696,64.804,0.724,0.092,0.788
Guinea,Africa,Developing,5.072,0.072,13100589,980,0.649,54.185,0.659,0.125,0.787
Ukraine,Europe,Developing,5.071,0.059,44000536,3070,0.878,64.55,0.795,0.24,0.907
Ivory Coast,Africa,Developing,5.053,0.074,2640125,1520,0.572,55.953,0.733,0.003,0.746
Gabon,Africa,Developing,5.035,0.072,2200587,8590,0.746,58.252,0.642,-0.187,0.786
S. Sudan,Africa,Developing,4.985,0.048,183663,1156,0.622,61.352,0.71,-0.06,0.685
Nigeria,Africa,Developing,4.981,0.08,206000112,2230,0.74,54.891,0.718,0.073,0.911
Cameroon,Africa,Developing,4.973,0.071,27700558,1300,0.686,55.847,0.686,0.015,0.846
Dem. Rep. Congo,Africa,Developing,4.969,0.079,125863,1158,0.598,63.02,0.623,-0.237,0.671
Mozambique,Africa,Developing,4.954,0.116,31300520,520,0.692,51.53,0.851,0.047,0.66
Iraq,Asia,Developing,4.941,0.081,41000447,4450,0.718,63.415,0.646,-0.005,0.876
State of Palestine,Asia,Developing,4.908,0.092,5200663,2690,0.859,62.05,0.694,-0.132,0.836
Morocco,Africa,Developing,4.903,0.061,36900996,3140,0.553,63.901,0.787,-0.231,0.811
Iran,Asia,Developing,4.876,0.053,83200874,4860,0.778,66.6,0.593,0.173,0.747
Sudan,Africa,Developing,4.858,0.108,53152,2526,0.596,68.252,0.689,0.204,0.652
Senegal,Africa,Developing,4.855,0.065,17000556,1430,0.629,59.999,0.772,0.011,0.846
Somalia,Africa,Developing,4.785,0.026,1707102,447,0.587,69.855,0.698,0.011,0.625
Mauritania,Africa,Developing,4.724,0.147,4700225,1330,0.644,60.475,0.622,-0.013,0.657
Burkina Faso,Africa,Developing,4.638,0.093,21500882,660,0.663,55.461,0.696,0.095,0.771
Guyana,South America,Developing,4.636,0.068,786559,18679,0.695,70.023,0.893,0.063,0.695
Namibia,Africa,Developing,4.631,0.069,2500336,5320,0.787,56.851,0.669,-0.126,0.83
Turkey,Europe,Developing,4.614,0.083,82000889,7970,0.796,68.663,0.475,-0.077,0.795
Comoros,Africa,Developing,4.608,0.042,869595,2989,0.698,64.525,0.87,0.153,0.822
Ghana,Africa,Developing,4.605,0.063,31100741,2260,0.641,58.763,0.777,0.139,0.881
Oman,Asia,Developing,4.569,0.081,5106622,29502,0.614,78.078,0.804,-0.133,0.614
Syria,Asia,Developing,4.569,0.054,17500657,1152,0.616,73.651,0.895,-0.06,0.616
Pakistan,Asia,Developing,4.555,0.077,225200445,1310,0.601,57.313,0.766,0.008,0.787
Niger,Africa,Developing,4.501,0.108,25700220,360,0.59,56.55,0.788,0.032,0.734
Tunisia,Africa,Developing,4.497,0.053,11800633,3160,0.73,67,0.576,-0.213,0.907
Kenya,Africa,Developing,4.487,0.066,54000878,1790,0.69,58.499,0.696,0.288,0.852
Sri Lanka,Asia,Developing,4.442,0.083,21400225,2330,0.826,67.15,0.787,-0.03,0.808
Uganda,Africa,Developing,4.432,0.089,47000487,700,0.794,58.913,0.701,0.114,0.857
Chad,Africa,Developing,4.397,0.121,16400647,720,0.722,53.125,0.677,0.221,0.807
Eswatini,Africa,Developing,4.396,0.051,1160164,8404,0.736,60.721,0.89,0.014,0.836
Cambodia,Africa,Developing,4.393,0.059,16700915,1380,0.747,61.9,0.958,0.073,0.857
Benin,Africa,Developing,4.374,0.066,12100336,900,0.437,56.095,0.743,-0.043,0.576
Myanmar,Asia,Developing,4.372,0.082,54000553,1270,0.787,61.388,0.727,0.491,0.658
Bangladesh,Asia,Developing,4.282,0.068,166300442,1990,0.544,64.548,0.845,0.005,0.698
Gambia,Africa,Developing,4.279,0.105,2400347,700,0.584,57.9,0.596,0.364,0.883
Angola,Africa,Developing,4.256,0.054,169985,2232,0.552,67.022,0.652,-0.093,0.625
Mali,Africa,Developing,4.198,0.062,20500502,780,0.593,55.403,0.713,-0.028,0.846
Yemen,Asia,Developing,4.196,0.089,29825968,2630,0.654,66.181,0.878,0.097,0.789
Egypt,Africa,Developing,4.17,0.059,104000147,2480,0.726,63.503,0.732,-0.183,0.58
Togo,Africa,Developing,4.137,0.077,8500852,630,0.595,57.449,0.657,0.024,0.74
Jordan,Asia,Developing,4.12,0.062,10200963,5180,0.729,67.6,0.77,-0.15,0.687
Ethiopia,Africa,Developing,4.091,0.093,118800528,850,0.782,60.698,0.72,0.273,0.789
Liberia,Africa,Developing,4.042,0.144,5100639,700,0.596,56.7,0.735,0.154,0.83
India,Asia,Developing,4.036,0.029,1402565257,1890,0.608,60.777,0.897,0.072,0.774
Madagascar,Africa,Developing,4.019,0.092,27600528,460,0.65,58.05,0.522,0.075,0.742
Zambia,Africa,Developing,3.982,0.094,18400369,1260,0.694,55.032,0.791,0.098,0.818
Tanzania,Africa,Developing,3.694,0.075,61500753,1020,0.653,59.401,0.838,0.182,0.554
Comoros,Africa,Developing,3.545,0.117,869951,930,0.471,59.425,0.47,-0.014,0.727
Lesotho,Africa,Developing,3.512,0.056,2142252,2316,0.512,54.836,0.854,-0.016,0.752
Malawi,Africa,Developing,3.495,0.09,19100952,380,0.531,58.475,0.75,0.005,0.749
Botswana,Africa,Developing,3.435,0.136,2400258,7590,0.753,54.725,0.742,-0.215,0.83
Congo (Kinshasa),Africa,Developing,3.207,0.095,89600345,680,0.652,55.375,0.664,0.086,0.834
Zimbabwe,Africa,Developing,3.204,0.061,14900454,1200,0.69,54.05,0.654,-0.046,0.766
Sierra Leone,Africa,Developing,3.138,0.082,8100582,490,0.555,54.9,0.66,0.105,0.858
Central African Rep.,Africa,Developing,2.569,0.044,4829764,936,0.722,53.679,0.868,0.198,0.722
Lebanon,Asia,Developing,2.392,0.044,6800451,6720,0.53,66.149,0.474,-0.141,0.891
Afghanistan,Asia,Developing,1.859,0.033,38900656,368,0.341,54.712,0.382,-0.081,0.847
Andorra,Europe,Developed,0,0.036,77265,5562,0.647,74.25,0.887,-0.019,0.647
Antigua and Barbuda,North America,Developed,0,0.041,97928,17293,0.742,77.146,0.856,0.134,0.742
Bahamas,North America,Developed,0,0.032,393248,30846,0.673,74.053,0.702,-0.023,0.673
Barbados,North America,Developed,0,0.029,287371,12655,0.645,79.308,0.837,0.213,0.645
Belize,North America,Developed,0,0.044,397621,6121,0.707,74.754,0.861,0.141,0.707
Bhutan,Asia,Developing,0,0.043,771612,10551,0.716,72.08,0.822,0.027,0.716
Brunei,Asia,Developing,0,0.069,437483,62200,0.658,75.998,0.864,0.024,0.658
Burundi,Africa,Developing,0,0.038,11890781,731,0.622,61.916,0.869,0.175,0.622
Cape Verde,Africa,Developing,0,0.04,555988,6045,0.69,73.166,0.741,0.102,0.69
Democratic Republic of Congo,Africa,Developing,0,0.034,89561404,1082,0.604,60.971,0.892,0.001,0.604
Djibouti,Africa,Developing,0,0.044,988002,5481,0.621,67.49,0.874,0.04,0.621
Dominica,North America,Developed,0,0.042,71991,10288,0.729,71.23,0.803,0.253,0.729
Equatorial Guinea,Africa,Developing,0,0.044,1402985,17007,0.75,59.057,0.886,-0.145,0.75
Eritrea,Africa,Developing,0,0.038,3546427,889,0.721,66.679,0.867,-0.1,0.721
Fiji,Oceania,Developing,0,0.052,896444,11450,0.724,67.561,0.788,-0.07,0.724
Grenada,North America,Developing,0,0.052,112519,14488,0.712,72.426,0.721,-0.172,0.712
Haiti,North America,Developing,0,0.043,11402533,2934,0.664,64.315,0.846,0.096,0.664
Kiribati,Oceania,Developing,0,0.047,119446,2259,0.654,68.611,0.881,-0.129,0.654
Liechtenstein,Europe,Developed,0,0.04,38137,5299,0.757,77.02,0.898,0.032,0.757
Maldives,Asia,Developing,0,0.042,540542,12744,0.699,79.208,0.717,-0.066,0.699
Marshall Islands,Oceania,Developing,0,0.054,59194,3932,0.605,74.02,0.885,-0.074,0.605
Micronesia,Oceania,Developing,0,0.06,115021,3368,0.667,68.002,0.742,0.259,0.667
Monaco,Europe,Developed,0,0.046,39244,9669,0.638,75.02,0.878,-0.011,0.638
Nauru,Oceania,Developing,0,0.057,10834,13594,0.76,68.98,0.712,-0.094,0.76
North Korea,Asia,Developing,0,0.045,25778815,2635,0.64,72.453,0.882,0.119,0.64
Qatar,Asia,Developed,0,0.042,2881060,85290,0.679,80.363,0.86,-0.031,0.679
Saint Kitts and Nevis,North America,Developed,0,0.076,53192,24319,0.703,71.36,0.899,0.021,0.703
Saint Lucia,North America,Developed,0,0.042,183629,12048,0.767,76.343,0.857,-0.056,0.767
Saint Vincent and the Grenadines,North America,Developed,0,0.1,110947,12044,0.621,72.658,0.828,0.117,0.621
Samoa,Oceania,Developing,0,0.108,198410,6416,0.764,73.45,0.703,-0.057,0.764
San Marino,Europe,Developing,0,0.048,33938,5569,0.751,71.02,0.896,0,0.751
Sao Tome and Principe,Africa,Developing,0,0.079,219161,4051,0.712,70.583,0.729,0.204,0.712
Timor-Leste,Asia,Developing,0,0.042,1318442,3925,0.712,69.712,0.836,-0.237,0.712
Tonga,Oceania,Developing,0,0.057,105697,6346,0.628,71.018,0.725,-0.093,0.628
Trinidad and Tobago,North America,Developing,0,0.065,1399491,2372,0.759,73.628,0.843,-0.009,0.759
Tuvalu,Oceania,Developing,0,0.055,11792,4411,0.663,68.01,0.799,-0.059,0.663
Vanuatu,Oceania,Developing,0,0.063,307150,2854,0.673,70.623,0.871,-0.089,0.673
